file;alfa_param;cutoff_time;greedy_mege;nuqcl;random_seed
./data/brock200_1.clq;0.91;3;33;42;30744;
./data/brock200_1.clq;0.95;3;24;31;4200;
./data/brock200_1.clq;0.98;3;16;25;28711;
./data/C1000.9.clq;0.91;3;701;758;8840;
./data/C1000.9.clq;0.95;3;157;222;19934;
./data/C1000.9.clq;0.98;3;69;111;15362;
./data/C2000.9.clq;0.91;3;1101;1277;27887;
./data/C2000.9.clq;0.95;3;187;281;21667;
./data/C2000.9.clq;0.98;3;86;131;26251;
./data/c250.9.clq;0.91;3;211;214;1474;
./data/c250.9.clq;0.95;3;79;106;18319;
./data/c250.9.clq;0.98;3;46;63;9239;
./data/C4000.5.clq;0.91;3;15;28;1565;
./data/C4000.5.clq;0.95;3;15;22;24385;
./data/C4000.5.clq;0.98;3;13;19;11583;
